"dataset_name","field_name","business_name","description","logical_type","ordinal","required","nullable","default_value","max_length","precision","scale","format_rule","enum_type_ref","is_primary_key","foreign_dataset","foreign_field","example_value","owner"
""type_dictionary"",""schema_version"",""契约版本"",""数据字典契约版本"",""string"",""1"",""true"",""false"","""",""8"","""","""","""","""",""false"","""","""",""1.0.0"",""公开"",""dw-model-creator 维护组""
""type_dictionary"",""type_code"",""类型代码"",""稳定且唯一的类型代码；base_type 取值必须引用本表已登记的基础逻辑类型"",""string"",""2"",""true"",""false"","""",""64"","""","""","""","""",""true"","""","""",""string"",""公开"",""dw-model-creator 维护组""
""type_dictionary"",""type_name"",""类型名称"",""类型中文名称"",""string"",""3"",""true"",""false"","""",""128"","""","""","""","""",""false"","""","""",""文本"",""公开"",""dw-model-creator 维护组""
""type_dictionary"",""base_type"",""基础逻辑类型"",""CSV 解析和校验使用的基础逻辑类型；只能取 CsvLogicalType 已登记的九种基础类型"",""enum"",""4"",""true"",""false"","""","""","""","""","""","""",""false"","""","""",""string"",""公开"",""dw-model-creator 维护组""
""type_dictionary"",""description"",""类型说明"",""类型的业务含义、适用范围和限制"",""string"",""5"",""true"",""false"","""",""1024"","""","""","""","""",""false"","""","""",""不参与数值计算的 Unicode 文本"",""公开"",""dw-model-creator 维护组""
""type_dictionary"",""format_rule"",""格式规则"",""日期、时间、表达式或字符串格式规则；无则为空"",""string"",""6"",""false"",""true"","""",""256"","""","""","""","""",""false"","""","""",""YYYY-MM-DD"",""公开"",""dw-model-creator 维护组""
""type_dictionary"",""version"",""定义版本"",""类型定义版本"",""string"",""7"",""true"",""false"","""",""32"","""","""","""","""",""false"","""","""",""1.0.0"",""公开"",""dw-model-creator 维护组""
""type_dictionary"",""active"",""是否启用"",""类型定义当前是否允许使用"",""boolean"",""8"",""true"",""false"","""","""","""","""","""","""",""false"","""","""",""true"",""公开"",""dw-model-creator 维护组""
""type_values"",""type_code"",""所属类型"",""所属枚举类型；外键引用 type_dictionary.csv 的 type_code"",""reference"",""1"",""true"",""false"","""",""64"","""","""","""","""",""true"",""type_dictionary"",""type_code"",""Requiredness"",""公开"",""dw-model-creator 维护组""
""type_values"",""value_code"",""枚举值代码"",""稳定枚举值代码"",""string"",""2"",""true"",""false"","""",""64"","""","""","""","""",""true"","""","""",""required"",""公开"",""dw-model-creator 维护组""
""type_values"",""value_name"",""枚举值名称"",""枚举值中文名称"",""string"",""3"",""true"",""false"","""",""128"","""","""","""","""",""false"","""","""",""必需"",""公开"",""dw-model-creator 维护组""
""type_values"",""description"",""枚举值说明"",""该值何时使用、代表什么以及不能代表什么"",""string"",""4"",""true"",""false"","""",""1024"","""","""","""","""",""false"","""","""",""不满足时对应实体不能完成"",""公开"",""dw-model-creator 维护组""
""type_values"",""sort_order"",""排序序号"",""稳定显示和规范化排序序号"",""integer"",""5"",""true"",""false"","""","""",""10"",""0"","""","""",""false"","""","""",""1"",""公开"",""dw-model-creator 维护组""
""type_values"",""active"",""是否启用"",""该枚举值当前是否允许使用"",""boolean"",""6"",""true"",""false"","""","""","""","""","""","""",""false"","""","""",""true"",""公开"",""dw-model-creator 维护组""
