type_code,value_code,value_name,description,sort_order,active
"Requiredness","required","必需","不满足时对应实体不能完成","1","true"
"Requiredness","optional","可选","不满足时记录风险，但不阻断实体完成","2","true"
"Requiredness","alternative","替代","与同组候选按 min_satisfied 满足基数判断","3","true"
"MatrixDecision","ALLOW","允许","条件满足时允许依赖边","1","true"
"MatrixDecision","DENY","禁止","禁止依赖边；首次命中进入人工介入而非直接最终失败","2","true"
"MatrixDecision","CONDITIONAL","有条件允许","仅在指定结构化证据完整时允许依赖边","3","true"
"PhysicalLayer","DWD","明细层","贴源清洗后的最细粒度事实层","1","true"
"PhysicalLayer","DWM","汇总层","按主题和粒度预聚合的中间层","2","true"
"PhysicalLayer","DM","集市层","面向使用场景的汇总宽表层","3","true"
"EngineCode","postgresql","PostgreSQL","一期默认目标数据库引擎","1","true"
"EntityType","metric","指标需求","驱动模型设计、具有独立口径、粒度、公式和版本的指标需求","1","true"
"EntityType","tag","标签需求","驱动模型设计、基于字段或指标规则识别目标对象的标签需求","2","true"
"EntityType","physical-model","数仓模型需求","用户显式提出的 DWD、DWM 或 DM 数仓模型需求；仍须执行三阶段设计","3","true"
"NeedType","grain","粒度","定义能力成立时的唯一性维度组合和时间语义","1","true"
"NeedType","dimension-key","维度键","参与粒度、连接、分组或识别业务对象的维度键","2","true"
"NeedType","dimension-attribute","维度属性","由维度键确定、用于展示或筛选的描述属性","3","true"
"NeedType","measure","度量","在原生粒度上可观测、可按规则聚合的数值事实","4","true"
"NeedType","metric","指标","具有受治理口径、公式、粒度和版本的指标能力","5","true"
"NeedType","tag","标签","根据规则产生分类或布尔结果的标签能力","6","true"
"NeedType","non-functional","非功能","SLA、权限、保留和审计能力","7","true"
